"Date","Price","Open","High","Low","Change %"
"Jan 25, 2018","1.8529","1.8624","1.8697","1.8487","-0.48%"
"Jan 24, 2018","1.8619","1.8443","1.8645","1.8431","0.96%"
"Jan 23, 2018","1.8442","1.8452","1.8490","1.8367","-0.04%"
"Jan 22, 2018","1.8450","1.8312","1.8457","1.8305","0.84%"
"Jan 19, 2018","1.8297","1.8357","1.8391","1.8275","-0.30%"
"Jan 18, 2018","1.8352","1.8316","1.8382","1.8277","0.20%"
"Jan 17, 2018","1.8316","1.8216","1.8395","1.8206","0.53%"
"Jan 16, 2018","1.8219","1.8216","1.8265","1.8192","-0.02%"
"Jan 15, 2018","1.8222","1.8202","1.8266","1.8149","0.14%"
"Jan 12, 2018","1.8197","1.7998","1.8216","1.7980","1.12%"
"Jan 11, 2018","1.7996","1.8022","1.8033","1.7938","-0.14%"
"Jan 10, 2018","1.8022","1.8082","1.8097","1.8000","-0.32%"
"Jan 09, 2018","1.8080","1.8078","1.8093","1.8034","0.00%"
"Jan 08, 2018","1.8080","1.7997","1.8108","1.7985","0.43%"
"Jan 05, 2018","1.8003","1.7998","1.8032","1.7960","0.02%"
"Jan 04, 2018","1.7999","1.7973","1.8031","1.7961","0.13%"
"Jan 03, 2018","1.7975","1.8061","1.8101","1.7946","-0.48%"
"Jan 02, 2018","1.8061","1.8055","1.8087","1.7981","0.03%"
"Jan 01, 2018","1.8055","1.8077","1.8089","1.8044","-0.12%"
"Dec 29, 2017","1.8076","1.7985","1.8104","1.7966","0.52%"
"Dec 28, 2017","1.7983","1.7949","1.8007","1.7940","0.18%"
"Dec 27, 2017","1.7950","1.7967","1.7998","1.7929","-0.09%"
"Dec 26, 2017","1.7967","1.7971","1.7989","1.7934","-0.01%"
"Dec 25, 2017","1.7969","1.7949","1.8008","1.7947","0.06%"
"Dec 22, 2017","1.7958","1.7987","1.8020","1.7939","-0.16%"
"Dec 21, 2017","1.7987","1.7980","1.8021","1.7942","0.06%"
"Dec 20, 2017","1.7976","1.8025","1.8066","1.7974","-0.27%"
"Dec 19, 2017","1.8025","1.8032","1.8056","1.7962","-0.04%"
"Dec 18, 2017","1.8032","1.7982","1.8092","1.7946","0.38%"
"Dec 15, 2017","1.7963","1.8074","1.8112","1.7930","-0.62%"
"Dec 14, 2017","1.8075","1.8070","1.8151","1.8028","0.03%"
"Dec 13, 2017","1.8070","1.8008","1.8089","1.7993","0.35%"
"Dec 12, 2017","1.8007","1.8028","1.8076","1.7990","-0.11%"
"Dec 11, 2017","1.8027","1.8112","1.8147","1.8012","-0.45%"
"Dec 08, 2017","1.8109","1.8216","1.8291","1.8070","-0.57%"
"Dec 07, 2017","1.8212","1.8068","1.8218","1.7990","0.80%"
"Dec 06, 2017","1.8068","1.8111","1.8123","1.8003","-0.24%"
"Dec 05, 2017","1.8112","1.8162","1.8167","1.8007","-0.29%"
"Dec 04, 2017","1.8165","1.8143","1.8260","1.8078","0.12%"
"Dec 01, 2017","1.8144","1.8243","1.8272","1.8108","-0.54%"
"Nov 30, 2017","1.8242","1.8062","1.8257","1.8058","0.99%"
"Nov 29, 2017","1.8064","1.7954","1.8111","1.7953","0.60%"
"Nov 28, 2017","1.7957","1.7936","1.8018","1.7784","0.12%"
"Nov 27, 2017","1.7935","1.7949","1.7992","1.7910","-0.04%"
"Nov 24, 2017","1.7943","1.7908","1.7976","1.7884","0.21%"
"Nov 23, 2017","1.7905","1.7949","1.7971","1.7888","-0.26%"
"Nov 22, 2017","1.7951","1.7932","1.7960","1.7865","0.10%"
"Nov 21, 2017","1.7933","1.7961","1.8005","1.7900","-0.16%"
"Nov 20, 2017","1.7962","1.7900","1.8003","1.7894","0.30%"
"Nov 17, 2017","1.7909","1.7897","1.7993","1.7857","0.06%"
"Nov 16, 2017","1.7898","1.7866","1.7924","1.7833","0.17%"
"Nov 15, 2017","1.7867","1.7895","1.7924","1.7814","-0.14%"
"Nov 14, 2017","1.7892","1.7863","1.7924","1.7797","0.17%"
"Nov 13, 2017","1.7862","1.7932","1.7953","1.7785","-0.46%"
"Nov 10, 2017","1.7944","1.7868","1.7987","1.7834","0.44%"
"Nov 09, 2017","1.7866","1.7860","1.7910","1.7814","0.03%"
"Nov 08, 2017","1.7861","1.7959","1.7978","1.7819","-0.55%"
"Nov 07, 2017","1.7960","1.7933","1.7970","1.7876","0.14%"
"Nov 06, 2017","1.7934","1.7851","1.7946","1.7826","0.48%"
"Nov 03, 2017","1.7848","1.7748","1.7875","1.7732","0.56%"
"Nov 02, 2017","1.7749","1.8028","1.8058","1.7737","-1.55%"
"Nov 01, 2017","1.8028","1.8107","1.8130","1.8017","-0.41%"
"Oct 31, 2017","1.8102","1.7966","1.8111","1.7952","0.71%"
"Oct 30, 2017","1.7974","1.7911","1.8013","1.7892","0.26%"
"Oct 27, 2017","1.7927","1.7992","1.8001","1.7888","-0.36%"
"Oct 26, 2017","1.7992","1.8048","1.8061","1.7937","-0.29%"
"Oct 25, 2017","1.8045","1.7897","1.8069","1.7850","0.80%"
"Oct 24, 2017","1.7901","1.7974","1.7992","1.7865","-0.41%"
"Oct 23, 2017","1.7975","1.7951","1.8009","1.7926","0.11%"
"Oct 20, 2017","1.7955","1.7852","1.7967","1.7794","0.58%"
"Oct 19, 2017","1.7851","1.7915","1.7968","1.7836","-0.37%"
"Oct 18, 2017","1.7917","1.7878","1.7920","1.7847","0.20%"
"Oct 17, 2017","1.7882","1.7907","1.8022","1.7860","-0.12%"
"Oct 16, 2017","1.7904","1.7961","1.8001","1.7880","-0.12%"
"Oct 13, 2017","1.7926","1.7937","1.8052","1.7914","-0.06%"
"Oct 12, 2017","1.7936","1.7909","1.7970","1.7769","0.15%"
"Oct 11, 2017","1.7909","1.7908","1.7931","1.7861","0.01%"
"Oct 10, 2017","1.7907","1.7920","1.7936","1.7868","-0.08%"
"Oct 09, 2017","1.7921","1.7835","1.7977","1.7817","0.51%"
"Oct 06, 2017","1.7830","1.7899","1.7915","1.7802","-0.38%"
"Oct 05, 2017","1.7898","1.8027","1.8067","1.7883","-0.74%"
"Oct 04, 2017","1.8031","1.8025","1.8092","1.8017","0.00%"
"Oct 03, 2017","1.8031","1.8076","1.8131","1.8019","-0.26%"
"Oct 02, 2017","1.8078","1.8183","1.8205","1.8049","-0.59%"
"Sep 29, 2017","1.8186","1.8251","1.8258","1.8129","-0.37%"
"Sep 28, 2017","1.8253","1.8200","1.8288","1.8172","0.30%"
"Sep 27, 2017","1.8199","1.8229","1.8252","1.8158","-0.16%"
"Sep 26, 2017","1.8229","1.8201","1.8279","1.8168","0.20%"
"Sep 25, 2017","1.8192","1.8157","1.8289","1.8114","0.18%"
"Sep 22, 2017","1.8159","1.8323","1.8348","1.8105","-0.93%"
"Sep 21, 2017","1.8330","1.8196","1.8350","1.8191","0.72%"
"Sep 20, 2017","1.8199","1.8193","1.8320","1.8165","0.04%"
"Sep 19, 2017","1.8192","1.8189","1.8274","1.8162","0.02%"
"Sep 18, 2017","1.8188","1.8271","1.8299","1.8158","-0.54%"
"Sep 15, 2017","1.8286","1.8038","1.8320","1.8013","1.34%"
"Sep 14, 2017","1.8044","1.7841","1.8091","1.7772","1.14%"
"Sep 13, 2017","1.7840","1.7900","1.7938","1.7802","-0.34%"
"Sep 12, 2017","1.7901","1.7729","1.7917","1.7718","0.96%"
"Sep 11, 2017","1.7730","1.7719","1.7779","1.7673","0.09%"
"Sep 08, 2017","1.7714","1.7551","1.7727","1.7536","0.92%"
"Sep 07, 2017","1.7552","1.7611","1.7629","1.7517","-0.33%"
"Sep 06, 2017","1.7610","1.7628","1.7668","1.7594","-0.12%"
"Sep 05, 2017","1.7631","1.7555","1.7648","1.7500","0.48%"
"Sep 04, 2017","1.7546","1.7591","1.7612","1.7506","-0.20%"
"Sep 01, 2017","1.7581","1.7532","1.7616","1.7507","0.28%"
"Aug 31, 2017","1.7532","1.7554","1.7572","1.7467","-0.14%"
"Aug 30, 2017","1.7557","1.7507","1.7566","1.7484","0.28%"
"Aug 29, 2017","1.7508","1.7506","1.7550","1.7470","0.00%"
"Aug 28, 2017","1.7508","1.7482","1.7557","1.7450","0.22%"
"Aug 25, 2017","1.7470","1.7435","1.7482","1.7409","0.21%"
"Aug 24, 2017","1.7433","1.7413","1.7475","1.7380","0.07%"
"Aug 23, 2017","1.7420","1.7473","1.7492","1.7401","-0.29%"
"Aug 22, 2017","1.7471","1.7551","1.7569","1.7440","-0.48%"
"Aug 21, 2017","1.7555","1.7548","1.7585","1.7517","0.02%"
"Aug 18, 2017","1.7551","1.7586","1.7618","1.7503","-0.20%"
"Aug 17, 2017","1.7586","1.7568","1.7616","1.7552","0.12%"
"Aug 16, 2017","1.7565","1.7594","1.7644","1.7538","-0.19%"
"Aug 15, 2017","1.7599","1.7671","1.7701","1.7574","-0.38%"
"Aug 14, 2017","1.7667","1.7680","1.7718","1.7651","-0.21%"
"Aug 11, 2017","1.7705","1.7692","1.7732","1.7636","0.08%"
"Aug 10, 2017","1.7691","1.7728","1.7751","1.7672","-0.24%"
"Aug 09, 2017","1.7734","1.7706","1.7752","1.7684","0.14%"
"Aug 08, 2017","1.7709","1.7762","1.7773","1.7661","-0.30%"
"Aug 07, 2017","1.7763","1.7725","1.7806","1.7725","0.13%"
"Aug 04, 2017","1.7740","1.7853","1.7861","1.7719","-0.63%"
"Aug 03, 2017","1.7852","1.7971","1.8047","1.7832","-0.67%"
"Aug 02, 2017","1.7973","1.7928","1.8021","1.7924","0.23%"
"Aug 01, 2017","1.7931","1.7909","1.7977","1.7889","0.15%"
"Jul 31, 2017","1.7904","1.7814","1.7919","1.7764","0.47%"
"Jul 28, 2017","1.7821","1.7755","1.7847","1.7742","0.35%"
"Jul 27, 2017","1.7759","1.7813","1.7874","1.7741","-0.29%"
"Jul 26, 2017","1.7810","1.7745","1.7814","1.7729","0.37%"
"Jul 25, 2017","1.7744","1.7745","1.7798","1.7708","-0.01%"
"Jul 24, 2017","1.7746","1.7698","1.7773","1.7680","0.24%"
"Jul 21, 2017","1.7704","1.7725","1.7767","1.7659","-0.12%"
"Jul 20, 2017","1.7725","1.7813","1.7854","1.7693","-0.49%"
"Jul 19, 2017","1.7812","1.7822","1.7869","1.7792","-0.04%"
"Jul 18, 2017","1.7819","1.7874","1.7940","1.7770","-0.31%"
"Jul 17, 2017","1.7875","1.7953","1.7987","1.7851","-0.47%"
"Jul 14, 2017","1.7960","1.7775","1.7990","1.7772","1.01%"
"Jul 13, 2017","1.7780","1.7754","1.7856","1.7740","0.17%"
"Jul 12, 2017","1.7750","1.7755","1.7804","1.7692","-0.04%"
"Jul 11, 2017","1.7757","1.7837","1.7901","1.7749","-0.45%"
"Jul 10, 2017","1.7837","1.7816","1.7873","1.7792","0.11%"
"Jul 07, 2017","1.7818","1.7934","1.7957","1.7779","-0.62%"
"Jul 06, 2017","1.7929","1.7863","1.7965","1.7837","0.38%"
"Jul 05, 2017","1.7861","1.7860","1.7884","1.7818","-0.04%"
"Jul 04, 2017","1.7868","1.7896","1.7918","1.7848","-0.12%"
"Jul 03, 2017","1.7889","1.7911","1.7957","1.7872","-0.23%"
"Jun 30, 2017","1.7931","1.7946","1.7963","1.7829","-0.05%"
"Jun 29, 2017","1.7940","1.7864","1.7966","1.7851","0.41%"
"Jun 28, 2017","1.7867","1.7779","1.7942","1.7728","0.49%"
"Jun 27, 2017","1.7779","1.7662","1.7832","1.7633","0.69%"
"Jun 26, 2017","1.7657","1.7660","1.7707","1.7639","0.06%"
"Jun 23, 2017","1.7646","1.7629","1.7682","1.7614","0.09%"
"Jun 22, 2017","1.7630","1.7598","1.7647","1.7566","0.15%"
"Jun 21, 2017","1.7603","1.7553","1.7671","1.7506","0.32%"
"Jun 20, 2017","1.7547","1.7662","1.7703","1.7519","-0.69%"
"Jun 19, 2017","1.7669","1.7683","1.7727","1.7614","-0.03%"
"Jun 16, 2017","1.7675","1.7650","1.7723","1.7636","0.15%"
"Jun 15, 2017","1.7649","1.7542","1.7682","1.7499","0.63%"
